edge_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,record_count,scheduled,abs_median_deviation,relative_deviation_factor,flow
9022003782395/9022003782389,Norrby (Vamsta) (Östhammar),Karö vägskäl (Östhammar),60.339032,18.116316,60.342346,18.126605,18,45,12,0.789,0.6455454545454546
9022003780286/9022003780291,Stenbybro västra (Knivsta),Stenbybro östra (Knivsta),59.74909,17.959197,59.750401,17.96357,20,21,10,0.71,0.6454545454545454
9022003760399/9022003760398,Smedsbo (Tierp),Bredänge (Tierp),60.334692,17.412466,60.32754,17.440194,19,175,-50,0.747,0.6451363636363636
9022003780031/9022003730030,Lärkdrillsvägen (Alsike) (Knivsta),F.d. Vass affär (Alsike) (Knivsta),59.760977,17.764143,59.760719,17.762171,22,20,-9,0.645,0.645
9022003780436/9022003780425,Långtibble (Vänge) (Uppsala),Vänge Ekeby (Uppsala),59.858684,17.417413,59.85123,17.453134,17,125,-25,0.833,0.6436818181818181
9022003760350/9022003760345,Östermalm (Söderfors) (Tierp),Söderfors f.d. station (Tierp),60.380424,17.254912,60.382644,17.246361,16,69,0,0.885,0.6436363636363637
9022003780656/9022003779458,Västerbol (Uppsala),Faringe kyrkby,59.972457,18.139505,59.980861,18.172278,20,78,42,0.708,0.6436363636363636
9022003780003/9022003780559,Joneberg (Uppsala),Bärby södra (Faringe) (Uppsala),59.93826,18.121873,59.934601,18.121582,37,13,21,0.382,0.6424545454545455
9022003781316/9022003781015,Vånsjö (Enköping),Vånsjöbro (Enköping),59.740913,17.080763,59.734292,17.096016,16,106,-14,0.883,0.6421818181818182
9022003780034/9022003780035,Tackmossvägen (Järlåsa) (Uppsala),Norrbo (Järlåsa.) (Uppsala),59.859252,17.180343,59.867044,17.193215,17,74,-15,0.831,0.6421363636363636
9022003782414/9022003782397,Vigelsbo (Östhammar),Stynsbo gård (Östhammar),60.290053,17.99922,60.28133,17.974859,17,88,18,0.83,0.6413636363636364
