edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,Record Count,delay,delay / travel time
9022003782347/9022003782530,9022003782347,9022003782530,Börstils kyrka (Östhammar),Östhammar Energivägen,60.242749,18.349588,60.248497,18.347234,934,-10,-0.20833333333333334
9022003780429/9022003779096,9022003780429,9022003779096,Huggsta (Uppsala),"Årsta vägskäl, v. 282 (Uppsala)",59.844983,17.750537,59.844318,17.73965,934,5,0.125
9022003782385/9022003782396,9022003782385,9022003782396,Motorp (Östhammar),Brudgrind (Östhammar),60.272372,18.313814,60.276952,18.302792,933,15,0.625
9022003782396/9022003782406,9022003782396,9022003782406,Brudgrind (Östhammar),Norrskedika IP (Östhammar),60.276952,18.302792,60.280015,18.297962,933,2,0.06896551724137931
9022003791305/9022003780050,9022003791305,9022003780050,Arlanda C (Sigtuna),Knivsta station (Knivsta),59.649053,17.928923,59.727162,17.786418,933,0,0
9022003782099/9022003782430,9022003782099,9022003782430,Norrskedika bygdegård (Östhammar),Norrskedika norra (Östhammar),60.286294,18.288276,60.287938,18.286284,933,-38,-0.52
9022003782372/9022003782385,9022003782372,9022003782385,Ed vägskäl (Östhammar),Motorp (Östhammar),60.263618,18.336441,60.272372,18.313814,933,12,0.1791044776119403
9022003782406/9022003782099,9022003782406,9022003782099,Norrskedika IP (Östhammar),Norrskedika bygdegård (Östhammar),60.280015,18.297962,60.286294,18.288276,933,3,0.07142857142857142
9022003700366/9022003700365,9022003700366,9022003700365,Nåntunaparken (Uppsala),Kardvägen (Uppsala),59.81583,17.69386,59.813959,17.68846,932,-10,-0.19642857142857142
9022003700367/9022003700366,9022003700367,9022003700366,Nämndemansvägen (Uppsala),Nåntunaparken (Uppsala),59.820876,17.696998,59.81583,17.69386,932,-24,-0.2
9022003780422/9022003780424,9022003780422,9022003780424,Läby (Vänge) (Uppsala),Västerby (Vänge) (Uppsala),59.848781,17.532863,59.848963,17.518972,932,8,0.22727272727272727
9022003780428/9022003780426,9022003780428,9022003780426,Nåstuna (Vänge) (Uppsala),Stora Almby (Vänge) (Uppsala),59.851432,17.481268,59.851227,17.474119,932,0,0
9022003780424/9022003780427,9022003780424,9022003780427,Västerby (Vänge) (Uppsala),Ängsbacka (Vänge) (Uppsala),59.848963,17.518972,59.851034,17.497629,932,-4,-0.06153846153846154
9022003700365/9022003700364,9022003700365,9022003700364,Kardvägen (Uppsala),Vävstolsvägen (Uppsala),59.813959,17.68846,59.814881,17.683645,932,-16,-0.3409090909090909
9022003780427/9022003780428,9022003780427,9022003780428,Ängsbacka (Vänge) (Uppsala),Nåstuna (Vänge) (Uppsala),59.851034,17.497629,59.851432,17.481268,932,4,0.1111111111111111
9022003700499/9022003700336,9022003700499,9022003700336,Coop/IKEA (Uppsala),Kuggebro (Uppsala),59.846031,17.694,59.832305,17.690761,932,54,0.28488372093023256
9022003780426/9022003780425,9022003780426,9022003780425,Stora Almby (Vänge) (Uppsala),Vänge Ekeby (Uppsala),59.851227,17.474119,59.85123,17.453134,932,0,0
9022003779092/9022003780422,9022003779092,9022003780422,Österberga vägskäl (Uppsala),Läby (Vänge) (Uppsala),59.847963,17.541135,59.848781,17.532863,932,0,0
9022003780050/9022003700600,9022003780050,9022003700600,Knivsta station (Knivsta),Uppsala Centralstationen (Uppsala),59.727162,17.786418,59.858683,17.64372,930,0,0
9022003782530/9022003782347,9022003782530,9022003782347,Östhammar Energivägen,Börstils kyrka (Östhammar),60.248497,18.347234,60.242749,18.349588,929,13,0.3170731707317073
9022003782356/9022003782530,9022003782356,9022003782530,Gammelbyn (Östhammar),Östhammar Energivägen,60.25371,18.346481,60.248497,18.347234,929,-15,-0.2807017543859649
9022003191711/9022003191712,9022003191711,9022003191712,Kungsängen station (Upplands-Bro),Kallhäll station (Järfälla),59.477747,17.751855,59.453238,17.805753,927,-60,-0.25
9022003191706/9022003191705,9022003191706,9022003191705,Ulriksdals station (Solna),Helenelund station (Sollentuna),59.380983,18.000191,59.409129,17.962238,927,0,0
9022003191714/9022003191715,9022003191714,9022003191715,Barkarby station (Järfälla),Spånga station (Stockholm),59.403573,17.868777,59.383388,17.898632,927,0,0
9022003191713/9022003191714,9022003191713,9022003191714,Jakobsberg station (Järfälla),Barkarby station (Järfälla),59.423438,17.833069,59.403573,17.868777,927,0,0
9022003191304/9022003791305,9022003191304,9022003791305,Upplands Väsby station (Upplands Väsby),Arlanda C (Sigtuna),59.522237,17.900179,59.649053,17.928923,927,60,0.125
9022003191701/9022003191304,9022003191701,9022003191304,Rotebro station (Sollentuna),Upplands Väsby station (Upplands Väsby),59.47662,17.91428,59.522237,17.900179,927,-60,-0.2
9022003191702/9022003191701,9022003191702,9022003191701,Norrviken station (Sollentuna),Rotebro station (Sollentuna),59.458372,17.924415,59.47662,17.91428,927,0,0
9022003191703/9022003191702,9022003191703,9022003191702,Häggvik station (Sollentuna),Norrviken station (Sollentuna),59.44428,17.932367,59.458372,17.924415,927,0,0
9022003780525/9022003780526,9022003780525,9022003780526,Vårdcentralen (Knutby) (Uppsala),Knutby affär (Uppsala),59.907086,18.261121,59.908918,18.264028,927,-8,-0.47058823529411764
9022003191716/9022003191719,9022003191716,9022003191719,Sundbyberg station (Sundbyberg),Stockholm Odenplan,59.360651,17.971298,59.343362,18.045933,927,0,0
